_id,combined_tags,cleaned_combined_tags
5ef5dfdb2ab4cf551d8bcfd4,"[""Writing""]",Writing
5ef5e8692ab4cf551d8bcfd5,"[""Advising Youth"",""Mentor"",""Giving your time to community projects"",""Coach young people"",""Nurturing Talents"",""Skilling""]",Advising YouthMentorGiving your time to community projectsCoach young peopleNurturing TalentsSkilling
5ef5e90cdf376c7656e0c1ea,"[""Biashara, Youth Empowerment, social  media, acting,  community service""]",Biashara Youth Empowerment social  media acting  community service
5ef5ea68df376c7656e0c1ec,"[""Volunteer""]",Volunteer
5ef5ee15df376c7656e0c1f0,"[""Advising Youth"",""Mentor"",""Coach young people""]",Advising YouthMentorCoach young people
5ef5f5b7df376c7656e0c1f1,"[""Charity Work"",""Mentor"",""Serving in community Boards"",""Planting trees""]",Charity WorkMentorServing in community BoardsPlanting trees
5ef5fe652ab4cf551d8bcfdb,"[""Volunteer"",""Giving your time to community projects""]",VolunteerGiving your time to community projects
5ef63c3f2ab4cf551d8bcfe2,"[""Advising Youth"",""Charity Work"",""Helping the Needy"",""Giving your time to community projects"",""Coach young people"",""Coach youth sports team"",""Providing sanitary pads"",""Sexual Reproductive Health""]",Advising YouthCharity WorkHelping the NeedyGiving your time to community projectsCoach young peopleCoach youth sports teamProviding sanitary padsSexual Reproductive Health
5ef651fddf376c7656e0c1fa,"[""Biz Opportunities"",""Help sharpen my skills in Biz"",""Tips on how to start a Biz""]",Biz OpportunitiesHelp sharpen my skills in BizTips on how to start a Biz
5ef65fad2ab4cf551d8bcfe7,"[""Advising Youth"",""Volunteer""]",Advising YouthVolunteer
5ef6e513df376c7656e0c1fc,"[""Volunteer"",""Community Cleaning""]",VolunteerCommunity Cleaning
5ef6e6942ab4cf551d8bcfea,"[""Giving your time to community projects"",""Supporting children home"",""Blood donation drive""]",Giving your time to community projectsSupporting children homeBlood donation drive
5ef711b52ab4cf551d8bcfef,"[""Community Cleaning"",""Advising Youth"",""Volunteer""]",Community CleaningAdvising YouthVolunteer
5ef72e55df376c7656e0c205,"[""Community Cleaning""]",Community Cleaning
5ef744452ab4cf551d8bcff2,"[""Volunteer""]",Volunteer
5ef74dce2ab4cf551d8bcff3,"[""Volunteer""]",Volunteer
5ef99dcd2ab4cf551d8bcff9,"[""Kusupply eggs"",""Community Cleaning"",""Volunteer""]",Kusupply eggsCommunity CleaningVolunteer
5ef9f27d2ab4cf551d8bd001,"[""Advising Youth"",""Supporting children home"",""Nyumba kumi"",""Volunteer"",""Help needy Families"",""Giving your time to community projects"",""Donating food stuffs to the poor"",""Skilling"",""Planting trees"",""Mentor""]",Advising YouthSupporting children homeNyumba kumiVolunteerHelp needy FamiliesGiving your time to community projectsDonating food stuffs to the poorSkillingPlanting treesMentor
5efa43a0df376c7656e0c21a,"[""Volunteer""]",Volunteer
5efb028bdf376c7656e0c21b,"[""Community Cleaning"",""Volunteer"",""Advising Youth""]",Community CleaningVolunteerAdvising Youth
5efb04692ab4cf551d8bd007,"[""Advising Youth""]",Advising Youth
5efb05152ab4cf551d8bd008,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efb08f82ab4cf551d8bd00c,"[""Volunteer""]",Volunteer
5efb09e9df376c7656e0c224,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efb471ddf376c7656e0c22b,"[""Volunteer"",""Advising Youth"",""Charity Work"",""Helping the Needy"",""Mentor"",""Coach young people"",""Skilling""]",VolunteerAdvising YouthCharity WorkHelping the NeedyMentorCoach young peopleSkilling
5efc58e12ab4cf551d8bd014,"[""Volunteer""]",Volunteer
5efc810c2ab4cf551d8bd018,"[""Advising Youth""]",Advising Youth
5efdd0ec2ab4cf551d8bd021,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efddafadf376c7656e0c23f,"[""Advising Youth"",""Community Cleaning""]",Advising YouthCommunity Cleaning
5efddb922ab4cf551d8bd028,"[""Volunteer"",""Community Cleaning"",""Advising Youth"",""Donating money"",""Helping the Needy"",""Charity Work""]",VolunteerCommunity CleaningAdvising YouthDonating moneyHelping the NeedyCharity Work
5efddd1edf376c7656e0c242,"[""Volunteer""]",Volunteer
5efddfb12ab4cf551d8bd029,"[""Advising Youth"",""Volunteer"",""Community Cleaning"",""Nurturing Talents"",""Skilling"",""Mentor""]",Advising YouthVolunteerCommunity CleaningNurturing TalentsSkillingMentor
5efde0df2ab4cf551d8bd02a,"[""Biz Opportunities""]",Biz Opportunities
5efde4df2ab4cf551d8bd02c,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5efe151bdf376c7656e0c24b,"[""Advising Youth""]",Advising Youth
5eff7024df376c7656e0c254,"[""Volunteer"",""Advising Youth"",""Mentor"",""Coach young people"",""Nurturing Talents""]",VolunteerAdvising YouthMentorCoach young peopleNurturing Talents
5eff8184df376c7656e0c255,"[""Nurturing Talents"",""Advising Youth"",""Giving your time to community projects"",""Volunteer""]",Nurturing TalentsAdvising YouthGiving your time to community projectsVolunteer
5f02f86aacd87760903626d7,"[""Community Cleaning""]",Community Cleaning
5f03112facd87760903626db,"[""Movies"",""Reading"",""Music""]",MoviesReadingMusic
5f0316a17e380f36eb3704b4,"[""Advising Youth""]",Advising Youth
5f031aa07e380f36eb3704b6,"[""Community"",""Volunteer""]",CommunityVolunteer
5f032910acd87760903626e2,"[""Volunteer""]",Volunteer
5f035b5c7e380f36eb3704ba,"[""Diving""]",Diving
5f0454997e380f36eb3704be,"[""Music"",""Movies"",""Reading""]",MusicMoviesReading
5f045508acd87760903626ea,"[""Advising Youth""]",Advising Youth
5f0457d9acd87760903626eb,"[""Charity Work"",""Volunteer""]",Charity WorkVolunteer
5f045a257e380f36eb3704c1,"[""Research"",""Hygiene""]",ResearchHygiene
5f045cab7e380f36eb3704c3,"[""All I want is to help people na business yangu iwe expand"",""Movies"",""Music""]",All I want is to help people na business yangu iwe expandMoviesMusic
5f04674a7e380f36eb3704c7,"[""Computer skills""]",Computer skills
5f046fe6acd87760903626f5,"[""Advising Youth""]",Advising Youth
5f0477337e380f36eb3704cc,"[""Giving your time to community projects"",""Advising Youth""]",Giving your time to community projectsAdvising Youth
5f049c487e380f36eb3704d1,"[""Community Cleaning""]",Community Cleaning
5f04a147acd87760903626fc,"[""Volunteer"",""Giving your time to community projects"",""Advising Youth"",""Coach young people"",""Coach youth sports team"",""Nurturing Talents"",""Sexual Reproductive Health"",""Providing sanitary pads"",""Charity Work"",""Helping the Needy"",""Serving in community Boards"",""Eradicating Drug Abuse"",""Helping the elderly"",""Community Cleaning""]",VolunteerGiving your time to community projectsAdvising YouthCoach young peopleCoach youth sports teamNurturing TalentsSexual Reproductive HealthProviding sanitary padsCharity WorkHelping the NeedyServing in community BoardsEradicating Drug AbuseHelping the elderlyCommunity Cleaning
5f04a3907e380f36eb3704d3,"[""Kuuza kuku na kupanda tu boga..en sometimes kuchunja""]",Kuuza kuku na kupanda tu bogaen sometimes kuchunja
5f04bb10acd8776090362701,"[""Community Cleaning"",""Advising Youth""]",Community CleaningAdvising Youth
5f05eaf67e380f36eb3704e6,"[""Reading"",""Travelling""]",ReadingTravelling
5f07635bacd8776090362717,"[""Advising Youth""]",Advising Youth
5f0abd7a5bcf5e24f4c664a8,"[""Food""]",Food
5f0d761f5bcf5e24f4c664c5,"[""Volunteering"",""Community cleaning exercise""]",VolunteeringCommunity cleaning exercise
5f1296ca5bcf5e24f4c664f4,"[""Coach"",""Volunteer""]",CoachVolunteer
5f169a8b339de1123eb0145d,"[""Advising Youth"",""Community Cleaning"",""Volunteer""]",Advising YouthCommunity CleaningVolunteer
5f16a29c5bcf5e24f4c66503,"[""Mentor"",""Advising Youth"",""Coach young people"",""Nurturing Talents"",""Teaching""]",MentorAdvising YouthCoach young peopleNurturing TalentsTeaching
5f1e9b045bcf5e24f4c6651a,"[""Advising Youth""]",Advising Youth
5f1fe45c7b22cc32ebb42c41,"[""Supporting children home""]",Supporting children home
5f1fe69b7b22cc32ebb42c47,"[""Designing""]",Designing
5f1fee4f7b22cc32ebb42c4a,"[""Volunteer"",""Advising Youth""]",VolunteerAdvising Youth
5f1ff9737b22cc32ebb42c4d,"[""Volunteer""]",Volunteer
5f1fffb57b22cc32ebb42c4e,"[""Help sharpen my skills in Biz"",""Biz Opportunities"",""Tips on how to start a Biz""]",Help sharpen my skills in BizBiz OpportunitiesTips on how to start a Biz
5f2048ea4483621fb2112257,"[""Mentor"",""Giving your time to community projects"",""Coach young people"",""Teaching"",""Serving in community Boards"",""Helping the elderly""]",MentorGiving your time to community projectsCoach young peopleTeachingServing in community BoardsHelping the elderly
5f213ccc7b22cc32ebb42c58,"[""Community Cleaning""]",Community Cleaning
5f213f337b22cc32ebb42c5a,"[""Volunteer""]",Volunteer
5f21430a7b22cc32ebb42c5b,"[""Shujaaz distributor"",""Volunteer"",""Community Cleaning"",""Charity Work"",""Mentor"",""Supporting children home"",""Giving your time to community projects"",""Blood donation drive"",""Garbage collection"",""Planting trees"",""Donating food stuffs to the poor"",""Eradicating Drug Abuse"",""Nurturing Talents"",""Helping the elderly"",""Providing sanitary pads"",""Cleaning polluted rivers"",""Advising Youth"",""Help needy Families"",""Coach young people"",""Teaching"",""Donating Textbooks"",""Running for charity"",""Serving in community Boards"",""Skilling"",""Helping the Needy"",""Donating money"",""Nyumba kumi""]",Shujaaz distributorVolunteerCommunity CleaningCharity WorkMentorSupporting children homeGiving your time to community projectsBlood donation driveGarbage collectionPlanting treesDonating food stuffs to the poorEradicating Drug AbuseNurturing TalentsHelping the elderlyProviding sanitary padsCleaning polluted riversAdvising YouthHelp needy FamiliesCoach young peopleTeachingDonating TextbooksRunning for charityServing in community BoardsSkillingHelping the NeedyDonating moneyNyumba kumi
5f214c7b4483621fb2112260,"[""Kuwatch movie, kusoma Bible, kutazama wanyama""]",Kuwatch movie kusoma Bible kutazama wanyama
5f214e6a7b22cc32ebb42c5d,"[""Advising Youth""]",Advising Youth
5f2263a57b22cc32ebb42c67,"[""Computer Skills""]",Computer Skills
5f226eca7b22cc32ebb42c69,"[""Advising Youth""]",Advising Youth
5f2271a94483621fb2112270,"[""Youth""]",Youth
5f22b11a4483621fb2112279,"[""Advising Youth"",""Community Cleaning""]",Advising YouthCommunity Cleaning
5f22e08b4483621fb211227b,"[""Advising Youth""]",Advising Youth
5f22e5597b22cc32ebb42c79,"[""Movies"",""Music"",""Photography"",""Art""]",MoviesMusicPhotographyArt
5f2341d24483621fb2112282,"[""Nataka kuanza Biz""]",Nataka kuanza Biz
5f2540344483621fb211228a,"[""Movies""]",Movies
5f281d277b22cc32ebb42c85,"[""Advising Youth""]",Advising Youth
5f291be24483621fb2112296,"[""Volunteer"",""Advising Youth"",""Community Cleaning""]",VolunteerAdvising YouthCommunity Cleaning
5f291ef47b22cc32ebb42c95,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f2958aa4483621fb21122a0,"[""Music studio""]",Music studio
5f2a77934483621fb21122a6,"[""Music"",""Movies"",""Reading""]",MusicMoviesReading
5f2a78384483621fb21122a9,"[""Volunteer""]",Volunteer
5f2a797d7b22cc32ebb42ca6,"[""Advising Youth""]",Advising Youth
5f2a7bf07b22cc32ebb42ca8,"[""Volunteer""]",Volunteer
5f2a7d5a4483621fb21122b0,"[""Volunteer""]",Volunteer
5f2a95304483621fb21122b3,"[""Music""]",Music
5f2a9fe57b22cc32ebb42cad,"[""Music""]",Music
5f2ab50e4483621fb21122b5,"[""Sexual Reproductive Health"",""Providing sanitary pads"",""Blood donation drive"",""Supporting children home"",""Mentor""]",Sexual Reproductive HealthProviding sanitary padsBlood donation driveSupporting children homeMentor
5f2d43e14483621fb21122cb,"[""Advising Youth""]",Advising Youth
5f2d4c827b22cc32ebb42cc7,"[""Volunteer"",""Advising Youth""]",VolunteerAdvising Youth
5f2d55ba7b22cc32ebb42ccb,"[""Advising Youth"",""Volunteer"",""Community Cleaning""]",Advising YouthVolunteerCommunity Cleaning
5f2e26fc4483621fb21122e5,"[""Movies"",""Reading"",""Music""]",MoviesReadingMusic
5f2e7b5a4483621fb21122f8,"[""Driving, computing and cooking""]",Driving computing and cooking
5f2e8e867b22cc32ebb42cec,"[""Kuimba""]",Kuimba
5f2e8f8f7b22cc32ebb42ced,"[""Advising Youth"",""Volunteer"",""Mentor"",""Community Cleaning"",""Charity Work"",""Help needy Families"",""Giving your time to community projects"",""Supporting children home"",""Coach young people"",""Teaching"",""Donating food stuffs to the poor"",""Nurturing Talents"",""Providing sanitary pads"",""Sexual Reproductive Health""]",Advising YouthVolunteerMentorCommunity CleaningCharity WorkHelp needy FamiliesGiving your time to community projectsSupporting children homeCoach young peopleTeachingDonating food stuffs to the poorNurturing TalentsProviding sanitary padsSexual Reproductive Health
5f2ea93d7b22cc32ebb42cf3,"[""Na offer services""]",Na offer services
5f2ef8777b22cc32ebb42cfc,"[""Advising Youth"",""Coach young people"",""Teaching""]",Advising YouthCoach young peopleTeaching
5f310bc24483621fb2112332,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f313f2a4483621fb2112335,"[""Artist""]",Artist
5f3182214483621fb2112344,"[""Music"",""Futa""]",MusicFuta
5f31972b4483621fb2112349,"[""Drugs awereness"",""Keeping our town clean"",""Church Youth projects""]",Drugs awerenessKeeping our town cleanChurch Youth projects
5f3199be4483621fb211234d,"[""Kusocialize, kusurf na kublog""]",Kusocialize kusurf na kublog
5f319d384483621fb2112352,"[""Talent""]",Talent
5f31a5ea7b22cc32ebb42d33,"[""Youths Mobilization""]",Youths Mobilization
5f322afa4483621fb2112357,"[""Educating""]",Educating
5f32352f4483621fb2112359,"[""Getting new ideas""]",Getting new ideas
5f323d707b22cc32ebb42d3f,"[""Socialize""]",Socialize
5f3243f57b22cc32ebb42d46,"[""Volunteering"",""Church Activities""]",VolunteeringChurch Activities
5f3249cf4483621fb2112366,"[""Music"",""Sociliizing"",""Movies""]",MusicSociliizingMovies
5f324a887b22cc32ebb42d4a,"[""Environmentalist""]",Environmentalist
5f324f1f7b22cc32ebb42d4c,"[""Community Cleaning"",""community cleani""]",Community Cleaningcommunity cleani
5f3257017b22cc32ebb42d53,"[""Volunteer""]",Volunteer
5f3275367b22cc32ebb42d57,"[""Volunteer""]",Volunteer
5f3283274483621fb211237e,"[""Volunteer"",""Advising Youth"",""Community Cleaning""]",VolunteerAdvising YouthCommunity Cleaning
5f328b5d4483621fb2112380,"[""music"",""movies"",""football""]",musicmoviesfootball
5f328dba7b22cc32ebb42d5e,"[""Business""]",Business
5f3296774483621fb2112383,"[""Music"",""Movies""]",MusicMovies
5f3296f54483621fb2112384,"[""Volunteer""]",Volunteer
5f329ac17b22cc32ebb42d64,"[""Advising Youth""]",Advising Youth
5f329ae34483621fb2112386,"[""volunteering"",""Volunteer"",""Community Cleaning""]",volunteeringVolunteerCommunity Cleaning
5f32a0cd4483621fb2112387,"[""Music""]",Music
5f32a54d4483621fb211238a,"[""Advising Youth""]",Advising Youth
5f32ad274483621fb211238c,"[""Blood donation drive"",""Donating food stuffs to the poor"",""Helping the elderly"",""Help needy Families""]",Blood donation driveDonating food stuffs to the poorHelping the elderlyHelp needy Families
5f32b2384483621fb211238e,"[""Helping the elderly"",""Donating food stuffs to the poor""]",Helping the elderlyDonating food stuffs to the poor
5f32b7064483621fb2112391,"[""Music""]",Music
5f32b77c4483621fb2112393,"[""Helping the elderly"",""Volunteer"",""Community cleaning exercise"",""Charity work""]",Helping the elderlyVolunteerCommunity cleaning exerciseCharity work
5f32debf4483621fb2112398,"[""Eradicating Drug Abuse"",""Community cleaning exercise"",""Coach young people"",""Charity work"",""Volunteer"",""Giving your time to community projects""]",Eradicating Drug AbuseCommunity cleaning exerciseCoach young peopleCharity workVolunteerGiving your time to community projects
5f32e4eb7b22cc32ebb42d7a,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f32ea504483621fb211239e,"[""Giving your time to community projects"",""Nurturing Talents"",""Community cleaning exercise"",""Charity work""]",Giving your time to community projectsNurturing TalentsCommunity cleaning exerciseCharity work
5f32f59b7b22cc32ebb42d81,"[""Help needy Families"",""Volunteer"",""Giving your time to community projects"",""Nurturing Talents""]",Help needy FamiliesVolunteerGiving your time to community projectsNurturing Talents
5f33a91c4483621fb21123ab,"[""Help needy Families"",""Community cleaning exercise""]",Help needy FamiliesCommunity cleaning exercise
5f33ab7f4483621fb21123ac,"[""Photographer""]",Photographer
5f33b0757b22cc32ebb42d89,"[""Movies""]",Movies
5f33b96c4483621fb21123af,"[""Music"",""BasketBall""]",MusicBasketBall
5f33ba8e4483621fb21123b0,"[""Help needy Families"",""Volunteer"",""Giving your time to community projects"",""Garbage collection""]",Help needy FamiliesVolunteerGiving your time to community projectsGarbage collection
5f33c7437b22cc32ebb42d8f,"[""music""]",music
5f33c7d44483621fb21123b5,"[""Advising Youth"",""Volunteer""]",Advising YouthVolunteer
5f33ca6e4483621fb21123b6,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f33d2777b22cc32ebb42d97,"[""Beauty""]",Beauty
5f33d4714483621fb21123c1,"[""Helping the elderly"",""Volunteer""]",Helping the elderlyVolunteer
5f33d9f04483621fb21123c2,"[""Help needy Families"",""Volunteer"",""Charity work""]",Help needy FamiliesVolunteerCharity work
5f33e8fa4483621fb21123c4,"[""Charity work"",""Coach young people"",""Community cleaning exercise""]",Charity workCoach young peopleCommunity cleaning exercise
5f33eed87b22cc32ebb42d9d,"[""Charity work"",""Volunteer"",""Community Cleaning""]",Charity workVolunteerCommunity Cleaning
5f33f42c7b22cc32ebb42d9e,"[""Movies"",""Music""]",MoviesMusic
5f33f7d97b22cc32ebb42da0,"[""Volunteer"",""Sexual Reproductive Health"",""Community Cleaning""]",VolunteerSexual Reproductive HealthCommunity Cleaning
5f3400187b22cc32ebb42da1,"[""Football"",""Music""]",FootballMusic
5f34067a7b22cc32ebb42da4,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f34274d7b22cc32ebb42da9,"[""Charity work"",""Coach youth sports team"",""Coach young people""]",Charity workCoach youth sports teamCoach young people
5f3448ab4483621fb21123d5,"[""Charity work"",""Coach youth sports team"",""Community cleaning exercise"",""Volunteer""]",Charity workCoach youth sports teamCommunity cleaning exerciseVolunteer
5f36028b5200894c03909f87,"[""Volunteer"",""Advising Youth""]",VolunteerAdvising Youth
5f3629855200894c03909f89,"[""Volunteer""]",Volunteer
5f3708695200894c03909f9b,"[""Volunteer""]",Volunteer
5f378f4f5200894c03909f9c,"[""Drawing, singing""]",Drawing singing
5f3a486b5200894c03909fa3,"[""Advising Youth"",""Help needy Families""]",Advising YouthHelp needy Families
5f3a54a85200894c03909fa4,"[""Music"",""Travelling"",""Culture""]",MusicTravellingCulture
5f3a5963b6b91a4b1aeffa45,"[""Helping the elderly"",""Giving your time to community projects""]",Helping the elderlyGiving your time to community projects
5f3a5cbeb6b91a4b1aeffa47,"[""Volunteer"",""Giving your time to community projects"",""Garbage collection""]",VolunteerGiving your time to community projectsGarbage collection
5f3a63dfb6b91a4b1aeffa48,"[""Charity work"",""Volunteer"",""Community cleaning exercise""]",Charity workVolunteerCommunity cleaning exercise
5f3a8381b6b91a4b1aeffa4d,"[""Charity work"",""Volunteer""]",Charity workVolunteer
5f3b8d13b6b91a4b1aeffa4f,"[""Computer Skills"",""Driving""]",Computer SkillsDriving
5f3e706bb6b91a4b1aeffa5d,"[""Volunterer""]",Volunterer
5f3ec8a3b6b91a4b1aeffa5f,"[""Reading"",""Networking""]",ReadingNetworking
5f3f91b8b6b91a4b1aeffa60,"[""Movies"",""Football""]",MoviesFootball
5f3f9a42b6b91a4b1aeffa61,"[""Movie""]",Movie
5f3fa099b6b91a4b1aeffa64,"[""Music""]",Music
5f411aa75200894c03909fd2,"[""Travelling""]",Travelling
5f43958ab6b91a4b1aeffa76,"[""Mobilize""]",Mobilize
5f439ff9b6b91a4b1aeffa7d,"[""Volunteer""]",Volunteer
5f43cc5db6b91a4b1aeffa80,"[""Ku learn more abut hii community yetu vitu wanatatkaak""]",Ku learn more abut hii community yetu vitu wanatatkaak
5f43d4595200894c03909fe2,"[""Dj"",""Clinician""]",DjClinician
5f43df2db6b91a4b1aeffa87,"[""Blood donation drive"",""Eradicating Drug Abuse"",""Dr"",""Hustling""]",Blood donation driveEradicating Drug AbuseDrHustling
5f44e2635200894c03909ff4,"[""Advising Youth"",""Teaching""]",Advising YouthTeaching
5f44eb8db6b91a4b1aeffa90,"[""Nikuomoa vijanaa"",""Movies""]",Nikuomoa vijanaaMovies
5f44ef675200894c03909ffa,"[""Volunteer"",""Advising Youth""]",VolunteerAdvising Youth
5f4505ba5200894c0390a001,"[""Cosmetic s""]",Cosmetic s
5f4640b5b6b91a4b1aeffa9e,"[""Movies""]",Movies
5f464514b6b91a4b1aeffaa6,"[""Biz Opportunities"",""Help sharpen my skills in Biz""]",Biz OpportunitiesHelp sharpen my skills in Biz
5f4645c35200894c0390a00c,"[""Photography"",""Music"",""Walking"",""Travelling"",""Driving"",""Riding"",""Rugby""]",PhotographyMusicWalkingTravellingDrivingRidingRugby
5f464df4b6b91a4b1aeffaaa,"[""Movies"",""Travelling"",""Music""]",MoviesTravellingMusic
5f4659085200894c0390a014,"[""Music""]",Music
5f465ba45200894c0390a016,"[""Advising Youth""]",Advising Youth
5f466a895200894c0390a01b,"[""Nawapea quality music""]",Nawapea quality music
5f46df41bfc18767b50e0eee,"[""Volunteer""]",Volunteer
5f477f461ccbc010cd78c3f2,"[""Volunteer"",""Coach young people"",""Planting trees""]",VolunteerCoach young peoplePlanting trees
5f479c7c1ccbc010cd78c3f5,"[""Internet Service"",""Online Jobs""]",Internet ServiceOnline Jobs
5f479d341ccbc010cd78c3f7,"[""Mimi Ni mtu ICT upande was graphic design""]",Mimi Ni mtu ICT upande was graphic design
5f47a3051ccbc010cd78c3fa,"[""Volunteer""]",Volunteer
5f47a3421ccbc010cd78c3fc,"[""Music""]",Music
5f47a8701ccbc010cd78c3ff,"[""Farming""]",Farming
5f47de80bfc18767b50e0f11,"[""Music"",""Reading""]",MusicReading
5f47eb071ccbc010cd78c404,"[""Advising Youth"",""Volunteer"",""Charity Work"",""Mentor"",""Giving your time to community projects"",""Coach young people"",""Garbage collection"",""Nurturing Talents""]",Advising YouthVolunteerCharity WorkMentorGiving your time to community projectsCoach young peopleGarbage collectionNurturing Talents
5f4803c9bfc18767b50e0f19,"[""Volunteer"",""Community Cleaning"",""Advising Youth""]",VolunteerCommunity CleaningAdvising Youth
5f48c550bfc18767b50e0f1e,"[""Music"",""Movies"",""Reading""]",MusicMoviesReading
5f4de2be1ccbc010cd78c41e,"[""Volunteer"",""Community Cleaning"",""Advising Youth"",""Mentor"",""Giving your time to community projects"",""Garbage collection"",""Planting trees"",""Supporting children home"",""Skilling""]",VolunteerCommunity CleaningAdvising YouthMentorGiving your time to community projectsGarbage collectionPlanting treesSupporting children homeSkilling
5f4f6139bfc18767b50e0f35,"[""Networking"",""Sports""]",NetworkingSports
5f4fa3391ccbc010cd78c432,"[""Movies"",""Music"",""Reading""]",MoviesMusicReading
5f4fdc1cbfc18767b50e0f3e,"[""Volunteer""]",Volunteer
